id;name;city;state;country;postalcode
1;Secured productize;South Ralphmouth;payment olive Ghana;Antigua and Barbuda;magnetic
2;Savings Account cross-platform Colombia;Lake Elvaport;International Peso Uruguayo Uruguay Peso en Unidades Indexadas;Mexico;Frozen Forward Sports
3;explicit Gold;Huelborough;Secured virtual District;Mozambique;Reverse-engineered
4;Directives Rustic Bedfordshire;Gibsontown;Savings Account pink Steel;Tanzania;Delaware Diverse Northern Mariana Islands
5;SAS Sports Licensed;Tayafort;parsing;Saint Pierre and Miquelon;Venezuela Checking Account
6;Small Soft Pizza;Hudsonfort;help-desk;Germany;EXE Illinois
7;Incredible Fresh Keyboard;Fredericshire;Beauty Fantastic Plastic Computer;Niger;Liaison mobile impactful
8;Pataca Guadeloupe;Asiamouth;payment Bedfordshire JBOD;Pakistan;calculating Checking Account
9;Movies Democratic People's Republic of Korea synthesizing;North Pete;embrace Forward;Algeria;connect TCP Mauritius
10;interface Concrete yellow;West Xzavier;bandwidth CSS Nicaragua;Indonesia;bus wireless Tuna
